,symbol,ticker
469,GANECOS,6944
470,GANESHHOUC,14339
471,GANGESSECU,21399
472,GARFIBRES,1100
473,GATI,13688
474,GAYAHWS,3699
475,GAYAPROJ,25023
476,GBGLOBAL,10114
477,GDL,11735
478,GEECEE,13658
479,GEEKAYWIRE,17922
480,GENCON,2188
481,GENESYS,11269
482,GENUSPAPER,6600
483,GENUSPOWER,11905
484,GEOJITFSL,11896
485,GEPIL,7862
486,GESHIP,13776
487,GET&D,16783
488,GFLLIMITED,1289
489,GFSTEELS,11080
490,GHCL,1127
491,GICHSGFIN,1139
492,GICRE,277
493,GILLANDERS,17839
494,GILLETTE,1576
495,GINNIFILA,1142
496,GIPCL,1145
497,GISOLUTION,16996
498,GKWLIMITED,17357
499,GLAND,1186
500,GLAXO,1153
501,GLENMARK,7406
502,GLFL,1156
503,GLOBAL,1415
504,GLOBALVECT,1666
505,GLOBE,11195
506,GLOBOFFS,14572
507,GLOBUSSPR,17424
508,GMBREW,1168
509,GMDCLTD,5204
510,GMMPFAUDLR,1570
511,GMRINFRA,13528
512,GNA,18571
513,GNFC,1174
514,GOACARBON,14687
515,GOCLCORP,3963
516,GODFRYPHLP,1181
517,GODHA,1607
518,GODREJAGRO,144
519,GODREJCP,10099
520,GODREJIND,10925
521,GODREJPROP,17875
522,GOENKA,5010
523,GOKEX,11778
524,GOKUL,16705
525,GOKULAGRO,14480
526,GOLDENTOBC,1255
527,GOLDIAM,11971
528,GOLDTECH,9874
529,GOODLUCK,6125
530,GOODYEAR,1205
531,GPIL,13409
532,GPPL,19731
533,GPTINFRA,17685
534,GRANULES,11872
535,GRAPHITE,592
536,GRASIM,1232
537,GRAVITA,20534
538,GREAVESCOT,1235
539,GREENLAM,6848
540,GREENPANEL,13810
541,GREENPLY,3987
542,GREENPOWER,20114
543,GRINDWELL,13560
544,GROBTEA,17770
545,GRPLTD,6543
546,GRSE,5475
547,GSCLCEMENT,29850
548,GSFC,1247
549,GSPL,13197
550,GSS,15347
551,GTL,1162
552,GTLINFRA,13745
553,GTNIND,1260
554,GTNTEX,13473
555,GTPL,21195
556,GUFICBIO,11606
557,GUJALKALI,1267
558,GUJAPOLLO,14677
559,GUJGASLTD,10599
560,GUJRAFFIA,10097
561,GULFOILLUB,4391
562,GULFPETRO,11581
563,GULPOLY,6286
564,HAL,2303
565,HAPPSTMNDS,48
566,HARITASEAT,17052
567,HARRMALAYA,1313
568,HATHWAY,18154
569,HATSUN,3892
570,HAVELLS,9819
571,HAVISHA,8417
572,HBLPOWER,13966
573,HBSL,4118
574,HCC,1375
575,HCG,15555
576,HCL-INSYS,1327
577,HCLTECH,7229
578,HDFC,1330
579,HDFCAMC,4244
580,HDFCBANK,1333
581,HDFCLIFE,467
582,HDIL,17920
583,HEG,1336
584,HEIDELBERG,2316
585,HEMIPROP,704
586,HERCULES,15288
587,HERITGFOOD,4598
588,HEROMOTOCO,1348
589,HESTERBIO,7048
590,HEXATRADEX,27008
591,HFCL,21951
592,HGINFRA,1672
593,HGS,14712
594,HIKAL,9668
595,HIL,1455
596,HILTON,14627
597,HIMATSEIDE,1360
598,HINDALCO,1363
599,HINDCOMPOS,1372
600,HINDCOPPER,17939
601,HINDMOTORS,21676
602,HINDNATGLS,17046
603,HINDOILEXP,1403
604,HINDPETRO,1406
605,HINDUNILVR,1394
606,HINDZINC,1424
607,HIRECT,13890
608,HISARMETAL,19322
609,HITECH,2868
610,HITECHCORP,15161
611,HITECHGEAR,4433
612,HLEGLAS,2289
613,HLVLTD,1448
614,HMT,19698
615,HMVL,19211
616,HNDFDS,12173
617,HOMEFIRST,2056
618,HONAUT,3417
619,HONDAPOWER,3138
620,HOTELRUGBY,4020
621,HOVS,13592
622,HPL,18679
623,HSCL,14334
624,HSIL,1412
625,HTMEDIA,11979
626,HUBTOWN,14207
627,HUDCO,20825
628,HUHTAMAKI,2562
629,IBREALEST,14450
630,IBULHSGFIN,30125
631,ICEMAKE,489
632,ICICIBANK,4963
633,ICICIGI,21770
634,ICICIPRULI,18652
635,ICIL,11987
636,ICRA,14523
637,IDBI,1476
638,IDEA,14366
639,IDFC,11957
640,IDFCFIRSTB,11184
641,IEX,220
642,IFBAGRO,1482
643,IFBIND,1485
644,IFCI,1491
645,IFGLEXPOR,436
646,IGARASHI,634
647,IGL,11262
648,IGPL,14086
649,IIFL,11809
650,IIFLSEC,13072
651,IIFLWAM,13061
652,IITL,19525
653,IL&FSENGG,9380
654,IL&FSTRANS,9381
655,IMAGICAA,7672
656,IMFA,19235
657,IMPAL,12009
658,IMPEXFERRO,11684
659,INDBANK,16933
660,INDHOTEL,1512
661,INDIACEM,1515
662,INDIAGLYCO,1521
663,INDIAMART,10726
664,INDIANB,14309
665,INDIANCARD,4422
666,INDIANHUME,1530
667,INDIGO,11195
668,INDIGOPNTS,2048
669,INDLMETER,3938
670,INDNIPPON,4747
671,INDOCO,11677
672,INDORAMA,10993
673,INDOSOLAR,10861
674,INDOSTAR,3088
675,INDOTECH,13275
676,INDOTHAI,25612
677,INDOWIND,14956
678,INDRAMEDCO,4751
679,INDSWFTLAB,4870
680,INDTERRAIN,21961
681,INDUSINDBK,5258
682,INDUSTOWER,29135
683,INEOSSTYRO,19
684,INFIBEAM,16249
685,INFOBEAN,11027
686,INFOMEDIA,13693
687,INFY,1594
688,INGERRAND,1597
689,INOXLEISUR,13221
690,INOXWIND,7852
691,INSECTICID,14657
692,INSPIRISYS,13730
693,INTEGRA,30323
694,INTELLECT,5926
695,INTENTECH,20071
696,INVENTURE,24870
697,IOB,9348
698,IOC,1624
699,IOLCP,20413
700,IPCALAB,1633
701,IRB,15313
702,IRCON,4986
703,IRCTC,13611
704,IRFC,2029
705,IRISDOREME,2275
706,ISEC,2489
707,ISFT,18479
708,ISMTLTD,14932
709,ITC,1660
710,ITDC,19299
711,ITDCEM,5622
712,ITI,1675
713,IVC,6711
714,IVP,1681
715,IZMO,14174
716,J&KBANK,5633
717,JAGRAN,13211
718,JAGSNPHARM,4410
719,JAIBALAJI,14076
720,JAICORPLTD,5143
721,JAINSTUDIO,8884
722,JAMNAAUTO,20778
723,JASH,13982
724,JAYAGROGN,4041
725,JAYBARMARU,1708
726,JAYNECOIND,2331
727,JAYSREETEA,1720
728,JBCHEPHARM,1726
729,JBFIND,1729
730,JBMA,11655
731,JCHAC,4491
732,JETAIRWAYS,13420
733,JHS,13723
734,JIKIND,16983
735,JINDALPHOT,11743
736,JINDALPOLY,1756
737,JINDALSAW,3024
738,JINDALSTEL,6733
739,JINDRILL,13875
740,JINDWORLD,20642
741,JISLDVREQS,25688
742,JISLJALEQS,10397
743,JITFINFRA,19695
744,JIYAECO,11762
745,JKCEMENT,13270
746,JKIL,15266
747,JKLAKSHMI,13491
748,JKPAPER,11860
749,JKTYRE,14435
750,JMA,7109
751,JMCPROJECT,4430
752,JMFINANCIL,13637
753,JMTAUTOLTD,14474
754,JOCIL,16927
755,JPASSOCIAT,11460
756,JPINFRATEC,18895
757,JPPOWER,11763
758,JSL,11236
759,JSLHISAR,12304
760,JSWENERGY,17869
761,JSWHL,11880
762,JSWISPL,4671
763,JSWSTEEL,11723
764,JTEKTINDIA,3237
765,JUBLFOOD,18096
766,JUBLINDS,21541
767,JUBLPHARMA,3637
768,JUMPNET,12052
769,JUSTDIAL,29962
770,JYOTHYLAB,15146
771,KABRAEXTRU,1805
772,KAJARIACER,1808
773,KAKATCEM,1811
774,KALPATPOWR,1814
775,KALYANI,21119
776,KALYANIFRG,15160
777,KAMATHOTEL,1826
778,KAMDHENU,13457
779,KANANIIND,25786
780,KANORICHEM,9805
781,KANPRPLA,1782
782,KANSAINER,1196
783,KAPSTON,18969
784,KARDA,2354
785,KARMAENG,24389
786,KARURVYSYA,1838
787,KAUSHALYA,15136
788,KAYA,10276
789,KCP,1841
790,KCPSUGIND,4809
791,KDDL,14908
792,KEC,13260
793,KECL,18220
794,KEERTI,1129
795,KEI,13310
796,KELLTONTEC,13430
797,KENNAMET,11841
798,KERNEX,13125
799,KESORAMIND,1859
800,KEYFINSERV,4157
801,KGL,15102
802,KHADIM,425
803,KHAICHEM,896
804,KHANDSE,9641
805,KICL,21119
806,KILITCH,19937
807,KINGFA,18944
808,KIOCL,19126
